Query,Parsed_Query,complexity,Informativeness
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://cu.affymetrix.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://cu.affymetrix.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://ncbigene.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://ncbigene.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://download.bio2df.org/release/4/sider/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://download.bio2df.org/release/4/sider/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://clinicaltrials.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://clinicaltrials.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://taxonomy.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://taxonomy.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://omim.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://omim.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://cu.biomodels.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://cu.biomodels.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT DISTINCT ?prefix WHERE { { SELECT DISTINCT ?p WHERE { ?s ?p ?o . } } . BIND(IF(CONTAINS(STR(?p), ""#""), REPLACE(STR(?p), ""#[^#]*$"", ""#""), REPLACE(STR(?p), ""/[^/]*$"", ""/"")) AS ?prefix) }","{""queryType"":""SELECT"",""distinct"":true,""variables"":[{""termType"":""Variable"",""value"":""prefix""}],""where"":[{""type"":""group"",""patterns"":[{""queryType"":""SELECT"",""distinct"":true,""variables"":[{""termType"":""Variable"",""value"":""p""}],""where"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]}],""type"":""query""}]},{""type"":""bind"",""variable"":{""termType"":""Variable"",""value"":""prefix""},""expression"":{""type"":""operation"",""operator"":""if"",""args"":[{""type"":""operation"",""operator"":""contains"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""p""}]},{""termType"":""Literal"",""value"":""#"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]},{""type"":""operation"",""operator"":""replace"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""p""}]},{""termType"":""Literal"",""value"":""#[^#]*$"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}},{""termType"":""Literal"",""value"":""#"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]},{""type"":""operation"",""operator"":""replace"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""p""}]},{""termType"":""Literal"",""value"":""/[^/]*$"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}},{""termType"":""Literal"",""value"":""/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}]}}],""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT  ?g
WHERE
  { GRAPH ?g
      { ?sub  ?pred  ?obj }
  }
LIMIT   10","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""g""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""sub""},""predicate"":{""termType"":""Variable"",""value"":""pred""},""object"":{""termType"":""Variable"",""value"":""obj""}}]}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":10,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://homologene.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://homologene.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://orphanet.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://orphanet.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://hgnc.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://hgnc.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://mgi.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://mgi.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://interpro.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://interpro.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://chem2bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://chem2bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://go.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://go.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://chebi.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://chebi.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://drugbank.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://drugbank.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0
CONSTRUCT { ?s ?p ?o . } WHERE { SERVICE <http://bio2rdf.org/sparql> { ?s ?p ?o . } } LIMIT 1,"{""queryType"":""CONSTRUCT"",""template"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}],""where"":[{""type"":""service"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]}],""name"":{""termType"":""NamedNode"",""value"":""http://bio2rdf.org/sparql""},""silent"":false}],""limit"":1,""type"":""query"",""prefixes"":{}}",2,0.0
