Query,Parsed_Query,complexity,Informativeness,similarity
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://cu.affymetrix.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://cu.affymetrix.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[1.0000000000000002, 0.42279846564914725, 0.2424700202228091, 0.42279846564914725, 0.5363407684608859, 0.42279846564914725, 0.7008038303180493, 0.09367017541386453, 0.10588992947317885, 0.42279846564914725, 0.42279846564914725, 0.42279846564914725, 0.42279846564914725, 0.5363407684608859, 0.3839423268951999, 0.42279846564914725, 0.42279846564914725, 0.5363407684608859, 0.16080138442920278]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://ncbigene.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://ncbigene.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 1.0000000000000002, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://download.bio2df.org/release/4/sider/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://download.bio2df.org/release/4/sider/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.2424700202228091, 0.3039168358626332, 0.9999999999999999, 0.3039168358626332, 0.2763633232798757, 0.3039168358626332, 0.2424700202228091, 0.07665889783933692, 0.08665944362582582, 0.3039168358626332, 0.3039168358626332, 0.3039168358626332, 0.3039168358626332, 0.2763633232798757, 0.31421522895216003, 0.3039168358626332, 0.3039168358626332, 0.2763633232798757, 0.09902882315268106]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://clinicaltrials.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://clinicaltrials.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 1.0000000000000002, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://taxonomy.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://taxonomy.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.5363407684608859, 0.48189870622792563, 0.2763633232798757, 0.48189870622792563, 1.0, 0.48189870622792563, 0.5363407684608859, 0.10676371844154826, 0.12069159223968462, 0.48189870622792563, 0.48189870622792563, 0.48189870622792563, 0.48189870622792563, 0.611312347176475, 0.43761112120608603, 0.48189870622792563, 0.48189870622792563, 0.611312347176475, 0.18327876142387894]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://omim.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://omim.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 1.0000000000000002, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://cu.biomodels.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://cu.biomodels.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.7008038303180493, 0.42279846564914725, 0.2424700202228091, 0.42279846564914725, 0.5363407684608859, 0.42279846564914725, 1.0, 0.09367017541386453, 0.10588992947317885, 0.42279846564914725, 0.42279846564914725, 0.42279846564914725, 0.42279846564914725, 0.5363407684608859, 0.3839423268951999, 0.42279846564914725, 0.42279846564914725, 0.5363407684608859, 0.16080138442920278]"
"SELECT DISTINCT ?prefix WHERE { { SELECT DISTINCT ?p WHERE { ?s ?p ?o . } } . BIND(IF(CONTAINS(STR(?p), ""#""), REPLACE(STR(?p), ""#[^#]*$"", ""#""), REPLACE(STR(?p), ""/[^/]*$"", ""/"")) AS ?prefix) }","{""queryType"":""SELECT"",""distinct"":true,""variables"":[{""termType"":""Variable"",""value"":""prefix""}],""where"":[{""type"":""group"",""patterns"":[{""queryType"":""SELECT"",""distinct"":true,""variables"":[{""termType"":""Variable"",""value"":""p""}],""where"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]}],""type"":""query""}]},{""type"":""bind"",""variable"":{""termType"":""Variable"",""value"":""prefix""},""expression"":{""type"":""operation"",""operator"":""if"",""args"":[{""type"":""operation"",""operator"":""contains"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""p""}]},{""termType"":""Literal"",""value"":""#"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]},{""type"":""operation"",""operator"":""replace"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""p""}]},{""termType"":""Literal"",""value"":""#[^#]*$"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}},{""termType"":""Literal"",""value"":""#"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]},{""type"":""operation"",""operator"":""replace"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""p""}]},{""termType"":""Literal"",""value"":""/[^/]*$"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}},{""termType"":""Literal"",""value"":""/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}]}}],""type"":""query"",""prefixes"":{}}",1,0.0,"[0.09367017541386453, 0.11740809564959799, 0.07665889783933692, 0.11740809564959799, 0.10676371844154826, 0.11740809564959799, 0.09367017541386453, 1.0, 0.04361238177768233, 0.11740809564959799, 0.11740809564959799, 0.11740809564959799, 0.11740809564959799, 0.10676371844154826, 0.12138653507188399, 0.11740809564959799, 0.11740809564959799, 0.10676371844154826, 0.023066450954375727]"
"SELECT  ?g
WHERE
  { GRAPH ?g
      { ?sub  ?pred  ?obj }
  }
LIMIT   10","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""g""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""sub""},""predicate"":{""termType"":""Variable"",""value"":""pred""},""object"":{""termType"":""Variable"",""value"":""obj""}}]}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":10,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.10588992947317885, 0.1327245829634264, 0.08665944362582582, 0.1327245829634264, 0.12069159223968462, 0.1327245829634264, 0.10588992947317885, 0.04361238177768233, 1.0000000000000002, 0.1327245829634264, 0.1327245829634264, 0.1327245829634264, 0.1327245829634264, 0.12069159223968462, 0.13722203018158144, 0.1327245829634264, 0.1327245829634264, 0.12069159223968462, 0.04877265478745322]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://homologene.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://homologene.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 1.0000000000000002, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://orphanet.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://orphanet.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 1.0000000000000002, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://hgnc.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://hgnc.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 0.5299441628684184, 1.0000000000000002, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://mgi.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://mgi.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 1.0000000000000002, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://interpro.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://interpro.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.5363407684608859, 0.48189870622792563, 0.2763633232798757, 0.48189870622792563, 0.611312347176475, 0.48189870622792563, 0.5363407684608859, 0.10676371844154826, 0.12069159223968462, 0.48189870622792563, 0.48189870622792563, 0.48189870622792563, 0.48189870622792563, 1.0, 0.43761112120608603, 0.48189870622792563, 0.48189870622792563, 0.611312347176475, 0.18327876142387894]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://chem2bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://chem2bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.3839423268951999, 0.4812410913171908, 0.31421522895216003, 0.4812410913171908, 0.43761112120608603, 0.4812410913171908, 0.3839423268951999, 0.12138653507188399, 0.13722203018158144, 0.4812410913171908, 0.4812410913171908, 0.4812410913171908, 0.4812410913171908, 0.43761112120608603, 1.0, 0.4812410913171908, 0.4812410913171908, 0.43761112120608603, 0.15680848608003273]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://go.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://go.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 1.0000000000000002, 0.5299441628684184, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://chebi.bio2rdf.org/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://chebi.bio2rdf.org/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.42279846564914725, 0.5299441628684184, 0.3039168358626332, 0.5299441628684184, 0.48189870622792563, 0.5299441628684184, 0.42279846564914725, 0.11740809564959799, 0.1327245829634264, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.5299441628684184, 0.48189870622792563, 0.4812410913171908, 0.5299441628684184, 1.0000000000000002, 0.48189870622792563, 0.2015517131278607]"
"SELECT ?s WHERE { GRAPH ?g { ?s ?p ?o . FILTER(STRSTARTS(STR(?s), ""http://drugbank.bio2rdf.org/fct/"")) } } LIMIT 1","{""queryType"":""SELECT"",""variables"":[{""termType"":""Variable"",""value"":""s""}],""where"":[{""type"":""graph"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]},{""type"":""filter"",""expression"":{""type"":""operation"",""operator"":""strstarts"",""args"":[{""type"":""operation"",""operator"":""str"",""args"":[{""termType"":""Variable"",""value"":""s""}]},{""termType"":""Literal"",""value"":""http://drugbank.bio2rdf.org/fct/"",""language"":"""",""datatype"":{""termType"":""NamedNode"",""value"":""http://www.w3.org/2001/XMLSchema#string""}}]}}],""name"":{""termType"":""Variable"",""value"":""g""}}],""limit"":1,""type"":""query"",""prefixes"":{}}",1,0.0,"[0.5363407684608859, 0.48189870622792563, 0.2763633232798757, 0.48189870622792563, 0.611312347176475, 0.48189870622792563, 0.5363407684608859, 0.10676371844154826, 0.12069159223968462, 0.48189870622792563, 0.48189870622792563, 0.48189870622792563, 0.48189870622792563, 0.611312347176475, 0.43761112120608603, 0.48189870622792563, 0.48189870622792563, 1.0, 0.18327876142387894]"
CONSTRUCT { ?s ?p ?o . } WHERE { SERVICE <http://bio2rdf.org/sparql> { ?s ?p ?o . } } LIMIT 1,"{""queryType"":""CONSTRUCT"",""template"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}],""where"":[{""type"":""service"",""patterns"":[{""type"":""bgp"",""triples"":[{""subject"":{""termType"":""Variable"",""value"":""s""},""predicate"":{""termType"":""Variable"",""value"":""p""},""object"":{""termType"":""Variable"",""value"":""o""}}]}],""name"":{""termType"":""NamedNode"",""value"":""http://bio2rdf.org/sparql""},""silent"":false}],""limit"":1,""type"":""query"",""prefixes"":{}}",2,0.0,"[0.16080138442920278, 0.2015517131278607, 0.09902882315268106, 0.2015517131278607, 0.18327876142387894, 0.2015517131278607, 0.16080138442920278, 0.023066450954375727, 0.04877265478745322, 0.2015517131278607, 0.2015517131278607, 0.2015517131278607, 0.2015517131278607, 0.18327876142387894, 0.15680848608003273, 0.2015517131278607, 0.2015517131278607, 0.18327876142387894, 1.0]"
